source_file,source_kind,source_sheet,2002-03,mineral,province,period_type,period_order,period,value,unit
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,633,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,540,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,375,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,340,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,6,2-Dec,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,10,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,36,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,264,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,24,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,12,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,514,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,568,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,1239,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,848,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,765,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,295,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,7,3-Jan,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,8,3-Feb,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,8,3-Feb,0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,8,3-Feb,,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,8,3-Feb,96,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,8,3-Feb,36,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,8,3-Feb,192,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,FLUORITE,FATA,month,8,3-Feb,60,MT
